;ProbandId;TrialNumber;Condition;ShowNumberCount;BlockId;LayerChangeCount;Difference
1581;17;65;Combined Feedback;8;3.0;13.0;5.0
1582;17;66;Combined Feedback;10;3.0;14.0;4.0
1583;17;67;Combined Feedback;7;3.0;14.0;7.0
1584;17;68;Combined Feedback;11;3.0;20.0;9.0
1585;17;69;Combined Feedback;7;3.0;14.0;7.0
1586;17;70;Combined Feedback;8;3.0;16.0;8.0
1587;17;71;Combined Feedback;8;3.0;14.0;6.0
1588;17;72;Combined Feedback;9;3.0;14.0;5.0
1589;17;73;Combined Feedback;15;3.0;20.0;5.0
1590;17;74;Combined Feedback;8;3.0;19.0;11.0
1591;17;75;Combined Feedback;10;3.0;17.0;7.0
1592;17;76;Combined Feedback;10;3.0;18.0;8.0
1593;17;77;Combined Feedback;10;3.0;19.0;9.0
1594;17;78;Combined Feedback;8;3.0;16.0;8.0
1595;17;79;Combined Feedback;13;3.0;22.0;9.0
1596;17;80;Combined Feedback;14;3.0;30.0;16.0
1597;17;81;Combined Feedback;10;3.0;15.0;5.0
1598;17;82;Combined Feedback;11;3.0;15.0;4.0
1599;17;83;Combined Feedback;10;3.0;21.0;11.0
1600;18;-8;Combined Feedback;13;;;
1601;18;-7;Combined Feedback;10;;;
1602;18;-6;Visual Feedback;10;;;
1603;18;-5;Visual Feedback;7;;;
1604;18;-4;Tactile Feedback;10;;;
1605;18;-3;Tactile Feedback;12;;;
1606;18;-2;No Feedback;10;;;
1607;18;-1;No Feedback;8;;;
1608;18;0;Tactile Feedback;9;-4.0;14.0;5.0
1609;18;0;Tactile Feedback;9;-4.0;14.0;5.0
1610;18;0;Tactile Feedback;9;-3.0;14.0;5.0
1611;18;0;Tactile Feedback;9;-3.0;14.0;5.0
1612;18;0;Tactile Feedback;9;-2.0;14.0;5.0
1613;18;0;Tactile Feedback;9;-2.0;14.0;5.0
1614;18;0;Tactile Feedback;9;-1.0;14.0;5.0
1615;18;0;Tactile Feedback;9;-1.0;14.0;5.0
1616;18;0;Tactile Feedback;9;0.0;14.0;5.0
1617;18;1;Tactile Feedback;13;0.0;38.0;25.0
